aespecie,POINT_X,POINT_Y
Acacia_dealbata,-5.755180508,40.03054782
Acacia_dealbata,-3.927229952,43.39215047
Acacia_dealbata,-3.927229952,43.39215047
Acacia_dealbata,-3.803769357,43.39308504
Acacia_dealbata,-3.803769357,43.39308504
Acacia_dealbata,-3.803769357,43.39308504
Acacia_dealbata,3.059540481,42.22527058
Acacia_dealbata,3.180714604,42.22514381
Acacia_dealbata,3.180971861,42.31520498
Acacia_dealbata,-6.625798612,42.56078723
Acacia_dealbata,-7.237093892,42.48177334
Acacia_dealbata,-7.848570585,42.30943335
Acacia_dealbata,-7.725445453,42.3981889
Acacia_dealbata,-6.800497102,41.03323369
Acacia_dealbata,-6.675283067,41.21091353
Acacia_dealbata,-6.582431291,40.48842503
Acacia_dealbata,-6.433420966,41.29583971
Acacia_dealbata,-5.815306461,41.4702069
Acacia_dealbata,0.179113263,38.76783628
Acacia_dealbata,-0.278977469,39.22060824
Acacia_dealbata,-0.500822129,39.4958524
Acacia_dealbata,-0.494342408,39.67588712
Acacia_dealbata,-0.494342408,39.67588712
Acacia_dealbata,-3.062826679,43.30584878
Acacia_dealbata,-1.828226216,43.38990844
Acacia_dealbata,-2.939527732,43.30585019
Acacia_dealbata,-2.076493697,43.30213886
Acacia_dealbata,-1.953221575,43.30107718
Acacia_dealbata,-1.829956587,43.29988269
Acacia_dealbata,-2.816499633,43.21567324
Acacia_dealbata,-2.693383917,43.21540966
Acacia_dealbata,-2.324052601,43.213824
Acacia_dealbata,-2.447970912,43.12444187
Acacia_dealbata,-2.571528667,43.03492254
Acacia_dealbata,-2.574624403,42.58466997
Acacia_dealbata,-7.110061059,42.65985335
Acacia_dealbata,-5.041010764,43.46773194
Acacia_dealbata,2.938365972,42.22526934
Acacia_dealbata,-7.730874814,42.12807108
Acacia_dealbata,-7.730874814,42.12807108
Acacia_longifolia,-3.927229952,43.39215047
Acacia_longifolia,-3.803769357,43.39308504
Acacia_melanoxylon,-9.062371238,42.76548185
Acacia_melanoxylon,-8.695266734,42.85514661
Acacia_melanoxylon,-8.57834133,42.04425072
Acacia_melanoxylon,-6.800497102,41.03323369
Acacia_melanoxylon,-6.675283067,41.21091353
Acacia_melanoxylon,-2.816499633,43.21567324
Acacia_melanoxylon,-5.99971301,41.54219176
Acacia_melanoxylon,-2.816499633,43.21567324
Acacia_melanoxylon,-2.692477816,43.39549748
Acacia_melanoxylon,-2.815957507,43.39576272
Acacia_melanoxylon,-3.186125196,43.30571446
Acacia_melanoxylon,-3.062826679,43.30584878
Acacia_melanoxylon,-2.939527732,43.30585019
Acacia_melanoxylon,-3.062733965,43.21580293
Acacia_melanoxylon,-2.816499633,43.21567324
Acacia_melanoxylon,-7.08215666,43.5598371
Acacia_melanoxylon,-5.48541848,39.04568521
Acacia_saligna,-0.667365549,37.96760983
Acacia_saligna,-0.667365549,37.96760983
Acacia_saligna,-0.736146427,39.41058325
Acacia_saligna,0.064153081,38.76500258
Acacia_saligna,-0.388008424,39.40328387
Acacia_saligna,-0.384641097,39.49329553
Acacia_saligna,-0.388008424,39.40328387
Acacia_saligna,-0.504040251,39.40583262
Acacia_saligna,-0.504040251,39.40583262
Acacia_saligna,-0.388008424,39.40328387
Acacia_saligna,-0.388008424,39.40328387
Acacia_saligna,-0.177642242,38.85783868
Acacia_saligna,0.064153081,38.76500258
Acacia_saligna,-0.062537589,38.85499822
Acacia_saligna,-0.062537589,38.85499822
Acacia_saligna,-0.062537589,38.85499822
Acacia_saligna,0.06783636,38.67500403
Acacia_saligna,0.06783636,38.67500403
Acacia_saligna,0.06783636,38.67500403
Acacia_saligna,0.06783636,38.67500403
Acacia_saligna,-0.306303796,38.50049718
Acacia_saligna,-3.728978171,36.72658169
Acacia_saligna,-3.621383074,37.26804276
Agave_americana,-0.900018919,37.79176566
Agave_americana,-1.006238433,38.06395845
Agave_americana,-0.772934157,38.23998666
Agave_americana,-0.76463343,38.51014774
Agave_americana,-0.667365549,37.96760983
Agave_americana,-0.664508539,38.05766262
Agave_americana,-0.661638763,38.14771385
Agave_americana,-0.532363907,38.59558224
Agave_americana,-2.945061371,36.72880233
Agave_americana,2.221239348,41.41203122
Agave_americana,2.221239348,41.41203122
Agave_americana,2.221239348,41.41203122
Agave_americana,2.339968871,41.50284739
Agave_americana,1.859187635,41.58915342
Agave_americana,1.859187635,41.58915342
Agave_americana,2.338130863,41.68297989
Agave_americana,-3.927229952,43.39215047
Agave_americana,-3.803769357,43.39308504
Agave_americana,-3.803769357,43.39308504
Agave_americana,0.465696303,40.3959707
Agave_americana,2.217989488,41.68222504
Agave_americana,2.577836003,41.77418051
Agave_americana,2.938365972,42.22526934
