"","Code","Sample Point","Type","Territory","Municipality","XETRS89","YETRS89","ZETRS89","Water range","Water range type","Basin","Section","Subgroup"
"34","C054","Otxandio","RÍOS","Bizkaia","Otxandio",527894,4765356,NA,"Urkiola hasta Embalse Urrunaga","Ríos de montaña húmeda calcárea","Santa Engracia","Santa Engrazia 2","Aguas (Hidrología)"
"35","C055","Ozaeta","RÍOS","Araba/Álava","Barrundia",541375,4751070,NA,"Barrundia hasta Embalse Ullibarri","Ríos de montaña húmeda calcárea","Barrundia","Barrundia 2","Aguas (Hidrología)"
"36","C063","Muxika","RÍOS","Bizkaia","Muxika",525224,4792822,NA,"Oka-A","Ríos cántabro-atlánticos calcáreos","Oka","Oka 3","Aguas (Hidrología)"
"37","C067","Gardea","RÍOS","Araba/Álava","Laudio/Llodio",501592,4774734,NA,"Nerbioi I","Pequeños ejes cántabro-atlánticos calcáreos","Nerbioi","Nerbioi 5","Aguas (Hidrología)"
"38","C074","Elorrio","RÍOS","Bizkaia","Elorrio",535914,4775188,NA,"Elorrio I","Ríos cántabro-atlánticos calcáreos. Muy modificados","Ibaizabal","Ibaizabal 3","Aguas (Hidrología)"
"39","C079","Amorebieta","RÍOS","Bizkaia","Amorebieta-Etxano",521701,4784906,NA,"Ibaizabal III","Pequeños ejes cántabro-atlánticos calcáreos. Muy modificados","Ibaizabal","Ibaizabal 7","Aguas (Hidrología)"
"40","C083","Jaizubia","RÍOS","Gipuzkoa","Irun",595541,4799059,NA,"Jaizubia-A","Ríos costeros cántabro-atlánticos","Jaizubia","Jaizubia 1","Aguas (Hidrología)"
"41","C085","Eibar","RÍOS","Gipuzkoa","Eibar",544350,4782076,NA,"Ego-A","Ríos cántabro-atlánticos calcáreos. Muy modificados","Ego","Ego 1","Aguas (Hidrología)"
"42","C0A1","Peñacerrada-Pagoeta","RÍOS","Araba/Álava","Peñacerrada-Urizaharra",522588,4721748,715,"Inglares desde Pipaon hasta Ebro","Ríos de montaña mediterránea calcárea","Inglares","Inglares 4","Aguas (Hidrología)"
"43","C0A1","Peñacerrada-Pagoeta","RÍOS","Araba/Álava","Peñacerrada-Urizaharra",522588,4721748,715,"Inglares desde Pipaon hasta Ebro","Ríos de montaña mediterránea calcárea","Inglares","Inglares 4","Aguas (Hidrología)"
