Tipo;Comunidades;periodo;Total
12 Residuos minerales (incluye residuos de construcción y demolición);Total nacional;2015;430561
12 Residuos minerales (incluye residuos de construcción y demolición);Total nacional;2014;433444
12 Residuos minerales (incluye residuos de construcción y demolición);Total nacional;2013;465104
12 Residuos minerales (incluye residuos de construcción y demolición);Total nacional;2012;442031
12 Residuos minerales (incluye residuos de construcción y demolición);Total nacional;2011;564613
12 Residuos minerales (incluye residuos de construcción y demolición);Total nacional;2010;437595
18 Otros;Total nacional;2017;1719
18 Otros;Total nacional;2016;41389
18 Otros;Total nacional;2015;57905
18 Otros;Total nacional;2014;58455
18 Otros;Total nacional;2013;134801
18 Otros;Total nacional;2012;30281
18 Otros;Total nacional;2011;11651
18 Otros;Total nacional;2010;133490
TOTAL RESIDUOS MEZCLADOS;Total nacional;2017;18271990
TOTAL RESIDUOS MEZCLADOS;Total nacional;2016;18052075
TOTAL RESIDUOS MEZCLADOS;Total nacional;2015;17753549
TOTAL RESIDUOS MEZCLADOS;Total nacional;2014;17530077
TOTAL RESIDUOS MEZCLADOS;Total nacional;2013;17852826
TOTAL RESIDUOS MEZCLADOS;Total nacional;2012;18315103
TOTAL RESIDUOS MEZCLADOS;Total nacional;2011;18773628
TOTAL RESIDUOS MEZCLADOS;Total nacional;2010;19395265
TOTAL RESIDUOS DE RECOGIDA SEPARADA;Total nacional;2017;4243191
TOTAL RESIDUOS DE RECOGIDA SEPARADA;Total nacional;2016;3826298
TOTAL RESIDUOS DE RECOGIDA SEPARADA;Total nacional;2015;3892745
TOTAL RESIDUOS DE RECOGIDA SEPARADA;Total nacional;2014;3798230
TOTAL RESIDUOS DE RECOGIDA SEPARADA;Total nacional;2013;3932859
TOTAL RESIDUOS DE RECOGIDA SEPARADA;Total nacional;2012;4080708
TOTAL RESIDUOS DE RECOGIDA SEPARADA;Total nacional;2011;4508351
TOTAL RESIDUOS DE RECOGIDA SEPARADA;Total nacional;2010;4984758
TOTAL RESIDUOS;Total nacional;2017;22515181
TOTAL RESIDUOS;Total nacional;2016;21878373
TOTAL RESIDUOS;Total nacional;2015;21646294
TOTAL RESIDUOS;Total nacional;2014;21328307
TOTAL RESIDUOS;Total nacional;2013;21785685
TOTAL RESIDUOS;Total nacional;2012;22395811
TOTAL RESIDUOS;Total nacional;2011;23281979
TOTAL RESIDUOS;Total nacional;2010;24380023
